title,artist,url,location,date,ntracks,genres
Fragments of a Dying Star,Dispirited Spirits,https://dispiritedspirits.bandcamp.com/album/fragments-of-a-dying-star?from=footer-nn-a2462890451,Portugal,2021-04-2,9,"['alternative', 'diy', 'indierock', 'indietronica', 'neopsychedelia', 'powerpop', 'spacerock']"
Greatest Hits 1​.​0 [LP],Jo Yonderly,https://joyonderly.bandcamp.com/album/greatest-hits-10-lp?from=footer-nn-a2462890451,"Malmö, Sweden",2021-04-23,9,"['alternative', 'experimentalrock', 'indierock']"
Dig (2015 Remaster),Adam Again,https://adamagain.bandcamp.com/album/dig-2015-remaster?from=footer-nn-a2462890451,"Huntington Beach, California",2016-03-14,10,"['alternative', 'alternativerock', 'feedback', 'funk']"
Lïan,Rïcïnn,https://ricinn.bandcamp.com/album/l-an?from=footer-cc-a2462890451,France,2016-06-16,10,"['experimental', 'baroque', 'chelseawolfe', 'corpomente', 'deadcandance', 'diamandagalas', 'female', 'klausnomi', 'opera', 'orchestral', 'öxxöxööx']"
Stranger,Joanne Pollock,https://joannepollock.bandcamp.com/album/stranger?from=footer-ar-a4217689646,"Toronto, Ontario",2017-06-16,10,"['electronic', 'electropop']"
Optimist,Joanne Pollock,https://joannepollock.bandcamp.com/album/optimist?from=footer-ar-a4217689646,"Toronto, Ontario",2015-07-2,6,"['electronic', 'joannepollock', 'electropop', 'pop']"
Sort​\​Lave,Richard Devine,https://richarddevine.bandcamp.com/album/sort-lave?from=footer-cc-a4217689646,"Atlanta, Georgia",2018-11-2,12,"['edm', 'electronic', 'idm', 'acid', 'modularsynth']"
Bones,Datach’i,https://datachi.bandcamp.com/album/bones?from=footer-cc-a4217689646,"Los Angeles, California",2019-07-26,12,"['electronic', 'eurorack', 'modularsynthesizer']"
UMR40 Facing The Sky,Object Truth,https://unfinishedmonkeyrecords.bandcamp.com/album/umr40-facing-the-sky?from=footer-nn-a4217689646,Belgium,2021-03-3,3,"['electronic', 'breakcore', 'dub', 'hiphop', 'idm', 'jungle']"
IDIOM,EDGEY,https://edgey.bandcamp.com/album/idiom?from=footer-nn-a4217689646,"New York, New York",2020-12-18,4,"['electronic', 'glitch', 'idm', 'breakcore', 'darkstep', 'gabber', 'noise']"
Heaven To A Tortured Mind,Yves Tumor,https://yves-tumor.bandcamp.com/album/heaven-to-a-tortured-mind?from=footer-ar-a3138980524,,2020-04-3,12,"['alternative', 'electronic']"
NV Auto,Perko,https://perko.bandcamp.com/album/nv-auto?from=footer-ar-a3138980524,"Copenhagen, Denmark",2018-11-30,7,['electronic']
Up De Flats,Gemma Dunleavy,https://gemmadunleavy.bandcamp.com/album/up-de-flats?from=footer-ar-a3138980524,"Dublin, Ireland",2020-10-7,6,"['dance', 'electronic', 'pop', 'rnb', 'soul', 'spokenword', 'ukgarage', 'dance', 'pop']"
Ambient & Techno Pieces,Tylakoid,https://collettivosbermuz.bandcamp.com/album/ambient-techno-pieces?from=footer-cc-a3138980524,"Genoa, Italy",2021-03-2,7,"['ambient', 'climaticrock', 'ambienttechno', 'drone', 'techno']"
"Everywhere, an empty bliss",The Caretaker,https://thecaretaker.bandcamp.com/album/everywhere-an-empty-bliss?from=footer-cc-a3138980524,"Manchester, UK",2019-02-26,17,"['ambient', 'darkambient', 'dementia', 'experimental', 'memories', 'haunting']"
Drummotive - Coral Ep,Drummotive,https://nextphaserecords.com/album/drummotive-coral-ep?from=footer-bcw-a3138980524,"Amsterdam, Netherlands",2018-04-6,4,"['drum&bass', 'electronic', 'atmopheric', 'breakbeat', 'breaks', 'cinematic', 'downtempo', 'drum&bass', 'jungle', 'leftfield', 'triphop']"
